Discord:,cryptidtracker - Feel free to contact me if you have any questions; you can find me in the below server as well as several other Fromsoft game servers
ER PvP Server:,https://discord.gg/vb2uWpmXhc
Donation Link:,https://ko-fi.com/cryptidtracker
,
,"does not require an update for App Ver. 1.16 - Calibrations Ver. 1.16
does not require an update for App Ver. 1.15 - Calibrations Ver. 1.15"
,
v1.19.2,"updated Talisman of Lord's Bestowal description
updated Fine Crucible Feather Talisman description
fixed Twinsage Glintstone Crown effect description"
,
v1.19.1,"removed Miranda's Prayer from reusables
changed Call of Tibia category to consumable
corrected attack ID for Call of Tibia consumable
corrected attack ID for Hefty Rancor Pot consumable
corrected effect description for Lazuli Glintstone Crown to mention its effect on intelligence
- description was the only error; planner correctly increased the proper attributes
changed subCategory names for Lusat's and Azur's sorceries
fixed an issue where the 2h strength multiplier was being applied twice for meeting requirements check on the AP Calc page
fixed an issue where loading a build that had talisman(s) in an invalid slot based on the previously selected criteria would lead to an erroneously empy talisman slot
fixed an issue where loading a build that had spell(s) in an invalid slot based on previously selected criteria would lead to an erroneously empty spell slot"
,
v1.19.0,"updated for App Ver. 1.14 - Calibrations Ver. 1.14.1
added Lamenter's Mask attack as a Reusable
updated names for some spells
updated Fine Crucible Feather Talisman description to 7 iframes instead of 11 iframes (30 fps)
updated Oil-Soaked Tear description to include oil application to user
updated descriptions for Crucible Feather Talisman and Windy Crystal Tear to note that their iframe benefits do not stack with each other
added link to a spreadsheet with more information on ""continuous attack"" effects in their effect description
added link to a spreadsheet that shows which weapons/critical attacks will trigger the Assassin's Crimson/Cerulean Dagger talismans once or twice"
,
v1.18.1,"added new 1.13 attack IDs for the following
- Blades of Stone
- Lightning Spear
- Roar of Rugalea"
,
